"datetime","value"
"2019-05-03T21:01:00+00:00","0"
"2019-05-03T21:02:00+00:00","0"
"2019-05-03T21:03:00+00:00","0"
"2019-05-03T21:04:00+00:00","0"
"2019-05-03T21:05:00+00:00","0"
"2019-05-03T21:06:00+00:00","0"
"2019-05-03T21:07:00+00:00","0"
"2019-05-03T21:08:00+00:00","0"
"2019-05-03T21:09:00+00:00","0"
"2019-05-03T21:10:00+00:00","0"
"2019-05-03T21:11:00+00:00","0"
"2019-05-03T21:12:00+00:00","0"
"2019-05-03T21:13:00+00:00","0"
"2019-05-03T21:14:00+00:00","0"
"2019-05-03T21:15:00+00:00","0"
"2019-05-03T21:16:00+00:00","0"
"2019-05-03T21:17:00+00:00","0"
"2019-05-03T21:18:00+00:00","0"
"2019-05-03T21:19:00+00:00","0"
"2019-05-03T21:20:00+00:00","0"
"2019-05-03T21:21:00+00:00","0"
"2019-05-03T21:22:00+00:00","0"
"2019-05-03T21:23:00+00:00","0"
"2019-05-03T21:24:00+00:00","0"
"2019-05-03T21:25:00+00:00","0"
"2019-05-03T21:26:00+00:00","0"
"2019-05-03T21:27:00+00:00","0"
"2019-05-03T21:28:00+00:00","0"
"2019-05-03T21:29:00+00:00","0"
"2019-05-03T21:30:00+00:00","0"
"2019-05-03T21:31:00+00:00","0"
"2019-05-03T21:32:00+00:00","0"
"2019-05-03T21:33:00+00:00","0"
"2019-05-03T21:34:00+00:00","0"
"2019-05-03T21:35:00+00:00","0"
"2019-05-03T21:36:00+00:00","0"
"2019-05-03T21:37:00+00:00","0"
"2019-05-03T21:38:00+00:00","0"
"2019-05-03T21:39:00+00:00","0"
"2019-05-03T21:40:00+00:00","0"
"2019-05-03T21:41:00+00:00","0"
"2019-05-03T21:42:00+00:00","0"
"2019-05-03T21:43:00+00:00","0"
"2019-05-03T21:44:00+00:00","0"
"2019-05-03T21:45:00+00:00","0"
"2019-05-03T21:46:00+00:00","0"
"2019-05-03T21:47:00+00:00","0"
"2019-05-03T21:48:00+00:00","0"
"2019-05-03T21:49:00+00:00","0"
"2019-05-03T21:50:00+00:00","0"
"2019-05-03T21:51:00+00:00","0"
"2019-05-03T21:52:00+00:00","0"
"2019-05-03T21:53:00+00:00","0"
"2019-05-03T21:54:00+00:00","0"
"2019-05-03T21:55:00+00:00","0"
"2019-05-03T21:56:00+00:00","0"
"2019-05-03T21:57:00+00:00","0"
"2019-05-03T21:58:00+00:00","0"
"2019-05-03T21:59:00+00:00","0"
"2019-05-03T22:00:00+00:00","0"
"2019-05-03T22:01:00+00:00","0"
"2019-05-03T22:02:00+00:00","0"
"2019-05-03T22:03:00+00:00","0"
"2019-05-03T22:04:00+00:00","0"
"2019-05-03T22:05:00+00:00","0"
"2019-05-03T22:06:00+00:00","0"
"2019-05-03T22:07:00+00:00","0"
"2019-05-03T22:08:00+00:00","0"
"2019-05-03T22:09:00+00:00","0"
"2019-05-03T22:10:00+00:00","0"
"2019-05-03T22:11:00+00:00","0"
"2019-05-03T22:12:00+00:00","0"
"2019-05-03T22:13:00+00:00","0"
"2019-05-03T22:14:00+00:00","0"
"2019-05-03T22:15:00+00:00","0"
"2019-05-03T22:16:00+00:00","0"
"2019-05-03T22:17:00+00:00","0"
"2019-05-03T22:18:00+00:00","0"
"2019-05-03T22:19:00+00:00","0"
"2019-05-03T22:20:00+00:00","0"
"2019-05-03T22:21:00+00:00","0"
"2019-05-03T22:22:00+00:00","0"
"2019-05-03T22:23:00+00:00","0"
"2019-05-03T22:24:00+00:00","0"
"2019-05-03T22:25:00+00:00","0"
"2019-05-03T22:26:00+00:00","0"
"2019-05-03T22:27:00+00:00","0"
"2019-05-03T22:28:00+00:00","0"
"2019-05-03T22:29:00+00:00","0"
"2019-05-03T22:30:00+00:00","0"
"2019-05-03T22:31:00+00:00","0"
"2019-05-03T22:32:00+00:00","0"
"2019-05-03T22:33:00+00:00","0"
"2019-05-03T22:34:00+00:00","0"
"2019-05-03T22:35:00+00:00","0"
"2019-05-03T22:36:00+00:00","0"
"2019-05-03T22:37:00+00:00","0"
"2019-05-03T22:38:00+00:00","0"
"2019-05-03T22:39:00+00:00","0"
"2019-05-03T22:40:00+00:00","0"
"2019-05-03T22:41:00+00:00","0"
"2019-05-03T22:42:00+00:00","0"
"2019-05-03T22:43:00+00:00","0"
"2019-05-03T22:44:00+00:00","0"
"2019-05-03T22:45:00+00:00","0"
"2019-05-03T22:46:00+00:00","0"
"2019-05-03T22:47:00+00:00","0"
"2019-05-03T22:48:00+00:00","0"
"2019-05-03T22:49:00+00:00","0"
"2019-05-03T22:50:00+00:00","0"
"2019-05-03T22:51:00+00:00","0"
"2019-05-03T22:52:00+00:00","0"
"2019-05-03T22:53:00+00:00","0"
"2019-05-03T22:54:00+00:00","0"
"2019-05-03T22:55:00+00:00","0"
"2019-05-03T22:56:00+00:00","0"
"2019-05-03T22:57:00+00:00","0"
"2019-05-03T22:58:00+00:00","0"
"2019-05-03T22:59:00+00:00","0"
"2019-05-03T23:00:00+00:00","0"
"2019-05-03T23:01:00+00:00","0"
"2019-05-03T23:02:00+00:00","0"
"2019-05-03T23:03:00+00:00","0"
"2019-05-03T23:04:00+00:00","0"
"2019-05-03T23:05:00+00:00","0"
"2019-05-03T23:06:00+00:00","0"
"2019-05-03T23:07:00+00:00","0"
"2019-05-03T23:08:00+00:00","0"
"2019-05-03T23:09:00+00:00","0"
"2019-05-03T23:10:00+00:00","0"
"2019-05-03T23:11:00+00:00","0"
"2019-05-03T23:12:00+00:00","0"
"2019-05-03T23:13:00+00:00","0"
"2019-05-03T23:14:00+00:00","0"
"2019-05-03T23:15:00+00:00","0"
"2019-05-03T23:16:00+00:00","0"
"2019-05-03T23:17:00+00:00","0"
"2019-05-03T23:18:00+00:00","0"
"2019-05-03T23:19:00+00:00","0"
"2019-05-03T23:20:00+00:00","0"
"2019-05-03T23:21:00+00:00","0"
"2019-05-03T23:22:00+00:00","0"
"2019-05-03T23:23:00+00:00","0"
"2019-05-03T23:24:00+00:00","0"
"2019-05-03T23:25:00+00:00","0"
"2019-05-03T23:26:00+00:00","0"
"2019-05-03T23:27:00+00:00","0"
"2019-05-03T23:28:00+00:00","0"
"2019-05-03T23:29:00+00:00","0"
"2019-05-03T23:30:00+00:00","0"
"2019-05-03T23:31:00+00:00","0"
"2019-05-03T23:32:00+00:00","0"
"2019-05-03T23:33:00+00:00","0"
"2019-05-03T23:34:00+00:00","0"
"2019-05-03T23:35:00+00:00","0"
"2019-05-03T23:36:00+00:00","0"
"2019-05-03T23:37:00+00:00","0"
"2019-05-03T23:38:00+00:00","0"
"2019-05-03T23:39:00+00:00","0"
"2019-05-03T23:40:00+00:00","0"
"2019-05-03T23:41:00+00:00","0"
"2019-05-03T23:42:00+00:00","0"
"2019-05-03T23:43:00+00:00","0"
"2019-05-03T23:44:00+00:00","0"
"2019-05-03T23:45:00+00:00","0"
"2019-05-03T23:46:00+00:00","0"
"2019-05-03T23:47:00+00:00","0"
"2019-05-03T23:48:00+00:00","0"
"2019-05-03T23:49:00+00:00","0"
"2019-05-03T23:50:00+00:00","0"
"2019-05-03T23:51:00+00:00","0"
"2019-05-03T23:52:00+00:00","0"
"2019-05-03T23:53:00+00:00","0"
"2019-05-03T23:54:00+00:00","0"
"2019-05-03T23:55:00+00:00","0"
"2019-05-03T23:56:00+00:00","0"
"2019-05-03T23:57:00+00:00","0"
"2019-05-03T23:58:00+00:00","0"
"2019-05-03T23:59:00+00:00","0"
