"datetime","value"
"2019-05-08T20:47:00+00:00","0"
"2019-05-08T20:48:00+00:00","0"
"2019-05-08T20:49:00+00:00","0"
"2019-05-08T20:50:00+00:00","0"
"2019-05-08T20:51:00+00:00","0"
"2019-05-08T20:52:02+00:00","0"
"2019-05-08T20:53:00+00:00","0"
"2019-05-08T20:54:00+00:00","0"
"2019-05-08T20:55:00+00:00","0"
"2019-05-08T20:56:00+00:00","0"
"2019-05-08T20:57:00+00:00","0"
"2019-05-08T20:58:00+00:00","0"
"2019-05-08T20:59:00+00:00","0"
"2019-05-08T21:00:00+00:00","0"
"2019-05-08T21:00:44+00:00","0"
"2019-05-08T21:01:00+00:00","0"
"2019-05-08T21:02:00+00:00","0"
"2019-05-08T21:03:00+00:00","0"
"2019-05-08T21:04:00+00:00","0"
"2019-05-08T21:05:00+00:00","0"
"2019-05-08T21:06:00+00:00","0"
"2019-05-08T21:07:00+00:00","0"
"2019-05-08T21:08:12+00:00","0"
"2019-05-08T21:09:00+00:00","0"
"2019-05-08T21:10:00+00:00","0"
"2019-05-08T21:11:00+00:00","0"
"2019-05-08T21:12:00+00:00","0"
"2019-05-08T21:13:00+00:00","0"
"2019-05-08T21:14:00+00:00","0"
"2019-05-08T21:15:20+00:00","0"
"2019-05-08T21:16:00+00:00","0"
"2019-05-08T21:17:00+00:00","0"
"2019-05-08T21:18:00+00:00","0"
"2019-05-08T21:19:00+00:00","0"
"2019-05-08T21:20:00+00:00","0"
"2019-05-08T21:21:00+00:00","0"
"2019-05-08T21:21:44+00:00","0"
"2019-05-08T21:22:22+00:00","0"
"2019-05-08T21:23:06+00:00","0"
"2019-05-08T21:24:06+00:00","0"
"2019-05-08T21:25:00+00:00","0"
"2019-05-08T21:26:00+00:00","0"
"2019-05-08T21:27:00+00:00","0"
"2019-05-08T21:28:00+00:00","0"
"2019-05-08T21:29:00+00:00","0"
"2019-05-08T21:30:00+00:00","0"
"2019-05-08T21:31:02+00:00","0"
"2019-05-08T21:31:48+00:00","0"
"2019-05-08T21:33:00+00:00","0"
"2019-05-08T21:34:00+00:00","0"
"2019-05-08T21:35:00+00:00","0"
"2019-05-08T21:36:00+00:00","0"
"2019-05-08T21:37:00+00:00","0"
"2019-05-08T21:38:00+00:00","0"
"2019-05-08T21:39:00+00:00","0"
"2019-05-08T21:40:00+00:00","0"
"2019-05-08T21:41:00+00:00","0"
"2019-05-08T21:42:00+00:00","0"
"2019-05-08T21:43:00+00:00","0"
"2019-05-08T21:44:00+00:00","0"
"2019-05-08T21:45:00+00:00","0"
"2019-05-08T21:46:00+00:00","0"
"2019-05-08T21:47:00+00:00","0"
"2019-05-08T21:47:50+00:00","0"
"2019-05-08T21:49:00+00:00","0"
"2019-05-08T21:50:00+00:00","0"
"2019-05-08T21:51:00+00:00","0"
"2019-05-08T21:52:00+00:00","0"
"2019-05-08T21:53:00+00:00","0"
"2019-05-08T21:53:42+00:00","0"
"2019-05-08T21:54:14+00:00","0"
"2019-05-08T21:55:00+00:00","0"
"2019-05-08T21:56:00+00:00","0"
"2019-05-08T21:57:00+00:00","0"
"2019-05-08T21:58:00+00:00","0"
"2019-05-08T21:59:00+00:00","0"
"2019-05-08T22:00:00+00:00","0"
"2019-05-08T22:01:12+00:00","0"
"2019-05-08T22:02:00+00:00","0"
"2019-05-08T22:03:00+00:00","0"
"2019-05-08T22:04:00+00:00","0"
"2019-05-08T22:05:00+00:00","0"
"2019-05-08T22:06:00+00:00","0"
"2019-05-08T22:07:00+00:00","0"
"2019-05-08T22:07:26+00:00","0"
"2019-05-08T22:08:00+00:00","0"
"2019-05-08T22:09:00+00:00","0"
"2019-05-08T22:10:00+00:00","0"
"2019-05-08T22:11:00+00:00","0"
"2019-05-08T22:12:00+00:00","0"
"2019-05-08T22:13:00+00:00","0"
"2019-05-08T22:13:52+00:00","0"
"2019-05-08T22:15:00+00:00","0"
"2019-05-08T22:16:00+00:00","0"
"2019-05-08T22:17:00+00:00","0"
"2019-05-08T22:18:00+00:00","0"
"2019-05-08T22:19:00+00:00","0"
"2019-05-08T22:19:52+00:00","0"
"2019-05-08T22:21:00+00:00","0"
"2019-05-08T22:22:00+00:00","0"
"2019-05-08T22:22:24+00:00","0"
"2019-05-08T22:23:00+00:00","0"
"2019-05-08T22:24:00+00:00","0"
"2019-05-08T22:25:00+00:00","0"
"2019-05-08T22:26:00+00:00","0"
"2019-05-08T22:27:00+00:00","0"
"2019-05-08T22:28:00+00:00","0"
"2019-05-08T22:29:10+00:00","0"
"2019-05-08T22:30:00+00:00","0"
"2019-05-08T22:31:00+00:00","0"
"2019-05-08T22:32:00+00:00","0"
"2019-05-08T22:33:00+00:00","0"
"2019-05-08T22:34:00+00:00","0"
"2019-05-08T22:35:16+00:00","0"
"2019-05-08T22:36:00+00:00","0"
"2019-05-08T22:37:00+00:00","0"
"2019-05-08T22:38:00+00:00","0"
"2019-05-08T22:39:00+00:00","0"
"2019-05-08T22:40:00+00:00","0"
"2019-05-08T22:41:00+00:00","0"
"2019-05-08T22:42:00+00:00","0"
"2019-05-08T22:43:00+00:00","0"
"2019-05-08T22:44:00+00:00","0"
"2019-05-08T22:45:00+00:00","0"
"2019-05-08T22:46:00+00:00","0"
"2019-05-08T22:47:00+00:00","0"
"2019-05-08T22:48:00+00:00","0"
"2019-05-08T22:49:00+00:00","0"
"2019-05-08T22:50:00+00:00","0"
"2019-05-08T22:50:38+00:00","0"
"2019-05-08T22:51:00+00:00","0"
"2019-05-08T22:52:00+00:00","0"
"2019-05-08T22:53:00+00:00","0"
"2019-05-08T22:54:00+00:00","0"
"2019-05-08T22:55:00+00:00","0"
"2019-05-08T22:56:00+00:00","0"
"2019-05-08T22:57:00+00:00","0"
"2019-05-08T22:58:00+00:00","0"
"2019-05-08T22:59:00+00:00","0"
"2019-05-08T23:00:00+00:00","0"
"2019-05-08T23:01:00+00:00","0"
"2019-05-08T23:02:00+00:00","0"
"2019-05-08T23:03:04+00:00","0"
"2019-05-08T23:04:00+00:00","0"
"2019-05-08T23:05:00+00:00","0"
"2019-05-08T23:06:00+00:00","0"
"2019-05-08T23:07:00+00:00","0"
"2019-05-08T23:08:00+00:00","0"
"2019-05-08T23:08:56+00:00","0"
"2019-05-08T23:09:52+00:00","0"
"2019-05-08T23:11:00+00:00","0"
"2019-05-08T23:12:00+00:00","0"
"2019-05-08T23:13:00+00:00","0"
"2019-05-08T23:14:00+00:00","0"
"2019-05-08T23:15:00+00:00","0"
"2019-05-08T23:16:00+00:00","0"
"2019-05-08T23:23:00+00:00","0"
"2019-05-08T23:31:00+00:00","0"
"2019-05-08T23:43:00+00:00","0"
"2019-05-08T23:54:00+00:00","0"
"2019-05-08T23:58:00+00:00","0"
